Name of School,Type,Address,Boys/Girls,Registration Status,Open Day / Evening,Registration Opens,Registration Deadline,Exam Board,1st Exam Date,1st Exam Subjects,1st Exam Results,2nd Exam Date,2nd Exam Subjects,2nd Exam Results,Interview?,Offers / Acceptance,Link for Registration,Source URL,Notes
"Bexley Grammar Consortium (Beths, Bexley GS, Chislehurst & Sidcup, Townley)",Grammar,"Various, Bexley DA / BR",B/G — Mixed and Single Sex,❌ CLOSED,Different for each school — most open events Sept/Oct 2026,1 March 2026,31 March 2026 (midnight),Quest Assessments (own paper),7–10 September 2026 (Bexley primaries 2–10 Sep),"English Comprehension, VR, NVR & Mathematical Reasoning (multiple choice)",Early October 2026,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.bexley.gov.uk/services/schools-and-education/selection-tests/register-secondary-selection-test,https://www.bexley.gov.uk/services/schools-and-education/selection-tests/about-test,❌ MISSED for 2027 entry. Late registrations NOT accepted.
Carshalton High School for Girls,State (non-selective),"West St, Carshalton SM5 2QX",Girls only,Check school site,Open events; check school site,1 September 2026 (CAF) — aptitude apps earlier,31 October 2026 (CAF); Sport aptitude: 10 October 2026; Music aptitude: separate,n/a academic; aptitude assessments only,—,—,—,Sport aptitude: 10 October 2026; Music aptitude: TBC,Music & Sport aptitude (if applying for those places),Before CAF deadline,No (academic),CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.chsg.org.uk/about-us/admissions,https://www.chsg.org.uk/page/?title=Admissions&pid=27,Non-selective state school — CAF only for general admission. Sport & music aptitude routes available.
Caterham School,Independent,"Harestone Valley Rd, Caterham CR3 6YA",B/G — Mixed,🟡 OPENS SOON,Open events autumn 2026,Open now / by application,Monday 2 November 2026,ISEB Common Pre-Test + Caterham EDGE assessments,Saturday 14 November 2026 (ISEB at Caterham; or own school),"ISEB online: English, Maths, VR & NVR (adaptive)",Feb 2027 (offers),Saturday 9 January 2027 (EDGE Day),EDGE assessments: Maths and EDGE paper (writing + critical thinking),12 February 2027,"Yes (informal, mid/late Nov 2026)",Offers 12 Feb 2027; accept early March 2027,https://www.caterhamschool.co.uk/admissions/11-admissions/,https://www.caterhamschool.co.uk/admissions/11-admissions/,Full 2027 entry timeline on official page. Co-curricular scholarship apps with main application.
Channing School,Independent,"Highgate, London N6 5HF",Girls only,🟡 OPENS SOON,Open Mornings autumn 2026,Open all year,Mid-November 2026 (TBC — was 7 Nov 2025),"London 11+ Consortium (online, adaptive)",Late Nov / early Dec 2026 (one of three Consortium dates),"Maths, NVR, English, VR + Problem Solving & Analysis (online, 100 min total)",—,January 2027 (interview at Channing),"Interview — creativity, critical thinking",Mid-February 2027,Yes,Offers Feb 2027; Consortium acceptance ~3 Mar 2027,https://www.channing.co.uk/admissions/,https://mentoreducation.co.uk/11-plus/schools/independent-schools/how-to-get-into-channing-11-plus/,Added May 2026. Reg fee £180. 55 external 11+ places. London Consortium member.
City of London School,Independent,"107 Queen Victoria St, London EC4V 3AL",Boys only,🟡 OPENS SOON,"29 June, 22 September and 24 September 2026",Summer Term 2026,Monday 2 November 2026,Own online and written assessments,Friday 27 November 2026,"Online: Maths, English, NVR, VR, Puzzles & Problem Solving + Creative Comprehension + Creative Writing",Mid-February 2027,January 2027,Interview and group activity for shortlisted candidates,Mid-February 2027,Yes (January 2027),Offers mid-Feb 2027; accept early March 2027,https://www.cityoflondonschool.org.uk/admissions/11-entry/,https://www.cityoflondonschool.org.uk/admissions/11-entry/,Official 2027 entry dates published.
City of London School for Girls (CLSG),Independent,"St Giles' Terrace, Barbican, London EC2Y 8BB",Girls only,🟡 OPENS June 2026,Tuesday 23 June 2026 + summer/autumn 2026,June 2026,Friday 30 October 2026,Own Papers (Cambridge Select Insight + Stage 2),13–18 November 2026 (Stage 1 at school),"Cambridge Select Insight: 1-hour computer test — numerical, verbal, NVR",Mid-December 2026 (Stage 2 invitations),Wednesday 6 January 2027 (Stage 2 + interview),Stage 2 papers + interview,Friday 12 February 2027,Yes (January 2027),Offers Fri 12 Feb 2027; accept by early March 2027,https://clsg.org.uk/admissions/11-admissions/,https://clsg.org.uk/admissions/,Added May 2026. Sister to CLS Boys. Reg fee £300. NOT a Consortium school.
Croydon High (GDST),Independent,"Old Farleigh Rd, Selsdon, Croydon CR2 8YB",Girls only,🟡 OPENS SOON,Open days Sept/Oct; check school site,Open / via GDST application,Early November 2026 (TBC — verify on school site),Adaptive Online Test (GDST),January 2027,"Adaptive Online Test: numeracy, problem-solving, vocabulary + teaching activity",End of January 2027 (TBC),Same day (teaching activity-based task),Tests based on teaching exercise,End of January 2027,Yes (informal activity),Outcome end of January 2027,https://application.gdst.net/school/croydon-high-school/,https://www.croydonhigh.gdst.net/admissions/,"GDST. Reg fee £100. Deposit £1,000. Sources disagree on exact deadline — verify with school."
Dulwich College,Independent,"Dulwich Common, London SE21 7LD",Boys only,🟢 OPEN NOW,Open Morning Sat 10 Oct 2026; mid-week tours Apr–Oct 2026,April 2026 (now open),Monday 2 November 2026 (midday),Own Papers (Quest online + writing task),Friday 4 December 2026,"Online: Maths, English, VR, NVR, Puzzles & Problem Solving, Creative Comprehension + 20-min writing",—,Interviews 20–27 January 2027,Interview (180 invited),—,Yes (Wed 20 – Wed 27 January 2027),Results 11–12 Feb 2027; accept by Wed 3 March 2027 (TBC),https://dulwichcollege.openapply.com/apply/forms/25807,https://www.dulwich.org.uk/admissions/year-7-entry,90 places. Reg fee £200 (free for Pupil Premium). Music Schol Sat 9 Jan 2027; Sport 18–19 Jan 2027.
Epsom College,Independent,"College Rd, Epsom KT17 4JQ",B/G — Mixed,🟡 OPENS SOON,Open Mornings June and September 2026 (TBC),Spring 2026,31 October 2026 (TBC),"ISEB online (multiple choice, adaptive)",Year 6 Autumn Term (TBC),"ISEB: English, Maths, VR, NVR",Mid-February 2027 (with offers),First 2 weeks of January 2027 (Engagement Sessions),"Engagement Day: group activities, taster sessions",Early February 2027,Yes (January 2027),Offers early Feb 2027; accept early March 2027,https://www.epsomcollege.org.uk/admissions/joining-year-7/,https://www.epsomcollege.org.uk/admissions/joining-year-7/,Scholarship assessments (Drama/Music/Sport) require separate registration.
Eton College,Independent (boarding),"Eton, Windsor, Berkshire SL4 6DW",Boys only (full boarding),🟢 OPEN NOW (closes 31 Aug 2026),Admissions tours twice weekly (Mon & Wed afternoons) in term time,Open all year,Monday 31 August 2026 (END of Year 5) — for Sept 2029 entry,ISEB Common Pre-Test (Stage 1) + Eton List Test (Stage 2) + Common Entrance (Stage 3),October or November 2026 (ISEB at current school),"ISEB online: English, Maths, VR, NVR (multiple choice, adaptive, ~2.5 hrs)",Mid-December 2026 (Stage 1 outcomes),"Spring/Summer 2027 (Eton List Test + interview, grouped by birth month)","Eton List Test (online, by Cambridge Uni) + interview",Within 6 weeks of Stage 2 (conditional offer),Yes (Stage 2 — Year 6/7),Conditional offer Year 6/7; final via Common Entrance / King's Schol Year 8; ENTRY Sept 2029,https://www.etoncollege.com/admissions/year-9-13/,https://www.etoncollege.com/admissions/year-9-13/,"Added May 2026. 🎓 13+ ENTRY ONLY (Year 9, Sept 2029). Reg fee £480 inc. VAT. ~240 places, 1,300+ apps."
