School,Registration Fee,Location,Exam Format,Assessment,Scholarships Offered,Interview / Group Activity,Registration Close Date,1st Exam Date,1st Exam Format/Subjects,1st Stage Result,2nd Stage Exam Date,2nd Exam Format/Subjects,2nd Stage Result,Interviews Date,Offer Date,Offer Accept By Date,Info Link,Registeration Closes,Co-ed
Alleyn’s,£225,Dulwich,ISEB,Online ISEB Common Pre-Test,"Academic, Art, Music, Sport, DT and Drama",Shortlisted,13-Nov noon,,,,,,,23-Jan,,,https://www.alleyns.org.uk/admissions/senior-school-11-,November prior to year of entry,Yes
Channing,£180,Highgate,Online Cognitive Consortium Test,Online Cognitive Consortium Test,Academic and Music,All,6-Nov,,,,,,,5-Jan,12-Feb,noon 3-March,https://www.channing.co.uk/admissions/joining-the-senior-school/,November prior to year of entry,No
City of London,£192,Barbican,Cambridge Select,"Computer Testing, Maths, English written papers",Music,Shortlisted,30-Oct,10-Dec,,,6-Jan,,,11-21-Jan,12-Feb,,https://clsg.org.uk/app/uploads/2026/04/A5-admissions-timeline-for-2027-entry.pdf,November prior to year of entry,No
Emanuel,£195,Battersea,School,"Maths, English, Verbal Reasoning written papers","Academic, Music, Sport, Drama and Art",Shortlisted,16-Oct,27-Nov,,,,,,16-Jan,11-Feb,noon 3-March,,October prior to year of entry,Yes
Francis Holland Regent’s Park,£200,Regent’s Park,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Music and Art",Shortlisted,6-Nov,,,,NA,,,4-Jan (All aapplicants),12-Feb,noon 3-March,https://www.fhs-nw1.org.uk/wp-content/uploads/2026/04/Key-dates-11-2027.pdf,November prior to year of entry,No
Francis Holland Sloane Square,£200,Sloane Square,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Music, Drama, Art and Ballet",All,6-Nov,,,,NA,,,8-Jan (All aapplicants),12-Feb,3-Mar,https://www.fhs-sw1.org.uk/admissions/joining-senior/,November prior to year of entry,No
Godolphin & Latymer,£210,Hammersmith,Online Cognitive Consortium Test,Online Cognitive Consortium Test,Music,Shortlisted,noon 6-Nov,,,,,,,15-Jan (No alternate Date),12-Feb,noon on 3-Mar,https://www.godolphinandlatymer.com/admissions/11-entry/,November prior to year of entry,No
Harrodian,£270,Barnes,ISEB,Online ISEB Common Pre-Test,No Scholarships,Shortlisted,21-Oct,,,,,,,23-Jan,5-Feb,mid-March,https://www.harrodian.com/admissions/admissions-process/#tab-11-entry,End October prior to year of entry,Yes
James Allen’s Girls’ School (JAGS),£240,Dulwich,ISEB,Online ISEB Common Pre-Test,"Academic, Art, Music and Sport",Shortlisted,10-Nov,,,,,,,Mid October through to late November,11-Feb,,https://www.jags.org.uk/wp-content/uploads/2026/03/Key-Dates-for-2027.pdf,End October prior to year of entry,No
Latymer Upper,£220,Hammersmith,School,Maths and English written papers,Academic and Music,Shortlisted,noon 12-Oct,2-Dec,,,8-Dec,,,6-Jan,Feb,March,https://www.latymer-upper.org/admissions/joining-at-11/,October prior to year of entry,Yes
